Item,Bridgewatch Sell Order,Bridgewatch Buy Order,Caerleon Sell Order,Caerleon Buy Order,Fort Sterling Sell Order,Fort Sterling Buy Order,Lymhurst Sell Order,Lymhurst Buy Order,Martlock Sell Order,Martlock Buy Order,Thetford Sell Order,Thetford Buy Order
Avalonian Energy,3686,3307,4270,4000,3789,3598,3693,3551,3599,3498,3660,3566
Bread,368,337,311,195,399,390,384,343,366,302,376,345
Bundle of Corn,325,302,0,0,0,0,0,0,0,0,0,0
Cabbage,413,361,350,321,375,335,410,370,359,323,344,334
Carrots,295,289,209,192,299,276,293,283,297,275,286,278
Cow's Milk,317,298,395,381,369,339,322,294,353,322,242,202
Crenellated Burdock,344,321,357,338,323,301,319,302,320,313,355,346
Deadwater Eel,81000,77030,82500,67020,82000,78102,83997,79009,82208,78006,82964,78046
Elusive Foxglove,393,370,366,339,399,352,395,347,388,362,377,350
Flour,408,357,329,321,397,358,348,305,380,346,405,370
Ghoul Yarrow,300,289,330,292,303,277,352,278,375,321,324,303
Greenriver Eel,2100,2094,2466,2120,2165,2047,2134,2100,2088,2032,2070,2064
Potatoes,405,387,356,267,423,369,411,353,350,342,490,382
Pumpkin,326,299,299,297,324,278,346,304,390,346,305,292
Raw Beef,417,361,479,473,388,361,401,366,391,339,374,309
Raw Goat,382,309,398,378,340,321,365,202,358,309,348,301
Raw Mutton,383,322,397,347,382,310,404,347,428,309,339,230
Redspring Eel,4560,4140,4700,4157,4496,4233,4389,4255,4390,4103,4412,4410
Sheaf of Wheat,367,342,365,341,365,351,379,332,334,306,379,343
Sheep's Milk,354,291,443,400,273,81,357,311,292,240,242,202
Turnips,354,310,261,200,225,217,338,272,350,328,364,265
