Item,Goat Stew,Avalonian Goat Stew,Greenriver Eel Stew,Mutton Stew,Avalonian Mutton Stew,Redspring Eel Stew,Beef Stew,Avalonian Beef Stew,Deadwater Eel Stew
Avalonian Energy,0,10,0,0,30,0,0,90,0
Bread,4,0,0,12,0,0,36,0,0
Bundle of Corn,0,0,0,0,0,0,0,36,0
Cabbage,0,0,0,0,12,0,0,0,0
Carrots,0,4,0,0,0,0,0,0,0
Cow's Milk,0,0,0,0,0,0,0,0,6
Crenellated Burdock,0,0,1,0,0,0,0,0,0
Deadwater Eel,0,0,0,0,0,0,0,0,1
Elusive Foxglove,0,0,0,0,0,2,0,0,0
Flour,0,0,0,0,0,0,0,0,0
Ghoul Yarrow,0,0,0,0,0,0,0,0,6
Greenriver Eel,0,0,1,0,0,0,0,0,0
Potatoes,0,0,0,12,12,2,0,0,0
Pumpkin,0,0,0,0,0,0,36,36,6
Raw Beef,0,0,0,0,0,0,72,72,0
Raw Goat,8,8,0,0,0,0,0,0,0
Raw Mutton,0,0,0,24,24,0,0,0,0
Redspring Eel,0,0,0,0,0,1,0,0,0
Sheaf of Wheat,0,0,0,0,0,0,0,0,0
Sheep's Milk,0,0,0,0,0,2,0,0,0
Turnips,4,4,1,0,0,0,0,0,0
